,Plot,Sample_Date,latitude,longitude,northing,easting,elevation,Plots_id,Treatments_id
0,102,2024-08-13,31.05359479,-97.35187693,3436708.552,657261.974,165.804,2,2
1,103,2024-08-13,31.05357193,-97.35181873,3436706.1,657267.566,165.793,3,3
2,104,2024-08-13,31.05356375,-97.35175224,3436705.287,657273.925,165.818,4,4
3,108,2024-08-13,31.05350475,-97.35177968,3436698.709,657271.403,165.752,8,8
4,107,2024-08-13,31.05352459,-97.35184361,3436700.817,657265.27,165.775,7,7
5,106,2024-08-13,31.05354107,-97.35190141,3436702.562,657259.727,165.786,6,6
6,110,2024-08-13,31.05348881,-97.35192616,3436696.734,657257.451,165.745,10,10
7,111,2024-08-13,31.05347001,-97.35186733,3436694.734,657263.096,165.74,11,11
8,112,2024-08-13,31.05345205,-97.35180106,3436692.837,657269.45,165.712,12,12
9,116,2024-08-13,31.0534043,-97.35182164,3436687.514,657267.564,165.67,16,16
10,115,2024-08-13,31.05342333,-97.35188594,3436689.533,657261.397,165.658,15,15
11,114,2024-08-13,31.05343802,-97.3519489,3436691.072,657255.364,165.676,14,14
12,118,2024-08-13,31.05338378,-97.35197226,3436685.027,657253.224,165.648,18,18
13,119,2024-08-13,31.05336659,-97.35190667,3436683.214,657259.512,165.659,19,19
14,120,2024-08-13,31.05335489,-97.35184646,3436682.002,657265.277,165.651,20,20
15,201,2024-08-13,31.05352772,-97.35166628,3436701.415,657282.187,165.733,21,21
16,203,2024-08-13,31.05348149,-97.3515132,3436696.508,657296.872,165.653,23,23
17,204,2024-08-13,31.05346208,-97.35145654,3436694.436,657302.311,165.62,24,24
18,208,2024-08-13,31.05340906,-97.35148221,3436688.523,657299.949,165.629,28,28
19,207,2024-08-13,31.05342996,-97.35153759,3436690.761,657294.629,165.615,27,27
20,205,2024-08-13,31.05347416,-97.35169086,3436695.444,657279.93,165.735,25,25
21,209,2024-08-13,31.05342516,-97.35171269,3436689.981,657277.927,165.74,29,29
22,211,2024-08-13,31.05337921,-97.35156011,3436685.104,657292.564,165.613,31,31
23,212,2024-08-13,31.05335982,-97.35150236,3436683.036,657298.107,165.595,32,32
24,216,2024-08-13,31.05330554,-97.35152583,3436676.986,657295.956,165.582,36,36
25,215,2024-08-13,31.05332653,-97.35158187,3436679.234,657290.574,165.584,35,35
26,213,2024-08-13,31.05337233,-97.35173624,3436684.092,657275.767,165.678,33,33
27,217,2024-08-13,31.05332199,-97.35176028,3436678.478,657273.555,165.67,37,37
28,219,2024-08-13,31.0532812,-97.35160371,3436674.178,657288.564,165.589,39,39
29,220,2024-08-13,31.05325682,-97.35154796,3436671.554,657293.925,165.565,40,40
30,302,2024-08-13,31.0532797,-97.35201519,3436673.429,657249.298,165.569,42,42
31,303,2024-08-13,31.05325987,-97.3519519,3436671.32,657255.371,165.582,43,43
32,304,2024-08-13,31.05324414,-97.35189692,3436669.655,657260.644,165.578,44,44
33,308,2024-08-13,31.05319286,-97.35192107,3436663.936,657258.423,165.558,48,48
34,307,2024-08-13,31.05321502,-97.3519732,3436666.319,657253.412,165.549,47,47
35,306,2024-08-13,31.05322635,-97.3520398,3436667.48,657247.038,165.553,46,46
36,310,2024-08-13,31.05317869,-97.35206104,3436662.167,657245.089,165.494,50,50
37,311,2024-08-13,31.05316342,-97.35199463,3436660.569,657251.452,165.537,51,51
38,312,2024-08-13,31.05314397,-97.35194256,3436658.486,657256.453,165.502,52,52
39,316,2024-08-13,31.05309503,-97.35196575,3436653.028,657254.32,165.439,56,56
40,315,2024-08-13,31.05311104,-97.35202133,3436654.724,657248.99,165.459,55,55
41,314,2024-08-13,31.05312911,-97.35208602,3436656.636,657242.787,165.454,54,54
42,318,2024-08-13,31.05307306,-97.35210675,3436650.393,657240.901,165.48,58,58
43,319,2024-08-13,31.05306058,-97.35204211,3436649.102,657247.09,165.453,59,59
44,320,2024-08-13,31.05304051,-97.35198877,3436646.953,657252.213,165.441,60,60
45,401,2024-08-13,31.05320907,-97.35177361,3436665.942,657272.469,165.573,61,61
46,403,2024-08-13,31.05316805,-97.35165774,3436661.559,657283.594,165.542,63,63
47,404,2024-08-13,31.05314547,-97.35159597,3436659.143,657289.526,165.526,64,64
48,408,2024-08-13,31.05309449,-97.35161922,3436653.46,657287.391,165.511,68,68
49,407,2024-08-13,31.05311581,-97.35168007,3436655.737,657281.549,165.518,67,67
50,405,2024-08-13,31.05315776,-97.35179693,3436660.221,657270.328,165.544,65,65
51,409,2024-08-13,31.05310762,-97.3518203,3436654.63,657268.18,165.497,69,69
52,411,2024-08-13,31.05306415,-97.35170371,3436649.977,657279.378,165.468,71,71
53,412,2024-08-13,31.05304337,-97.35164155,3436647.761,657285.344,165.497,72,72
54,416,2024-08-13,31.05299078,-97.35166495,3436641.899,657283.198,165.474,76,76
55,415,2024-08-13,31.0530145,-97.35172505,3436644.443,657277.423,165.488,75,75
56,413,2024-08-13,31.05305533,-97.35184377,3436648.801,657266.026,165.462,73,73
57,417,2024-08-13,31.05300253,-97.35186686,3436642.915,657263.91,165.488,77,77
58,419,2024-08-13,31.05296162,-97.3517492,3436638.547,657275.206,165.486,79,79
59,420,2024-08-13,31.05293917,-97.35168793,3436636.145,657281.09,165.46,80,80
60,501,2024-08-13,31.05298703,-97.35221599,3436640.703,657230.617,165.378,81,81
