Name,Code,Latitude,Longitude,Easting,Northing,Elevation,Plot
3,1-01-(01),31.47520239,-96.88563972,700864.045,3484203.886,138.997,101
4,1-01-(02),31.47524963,-96.885624,700869.119,3484209.152,139.102,101
5,1-01-(03),31.47523021,-96.88557104,700867.79,3484207.096,139.025,101
6,1-01-(04),31.47518305,-96.88558608,700864.56,3484201.84,138.923,101
7,1-02-(01),31.47526855,-96.88561816,700865.942,3484211.26,139.169,102
8,1-02-(02),31.47531603,-96.88560254,700871.07,3484216.553,139.227,102
9,1-02-(03),31.47529663,-96.88554901,700869.727,3484214.5,139.145,102
10,1-02-(04),31.47524897,-96.88556422,700866.524,3484209.188,139.042,102
11,1-03-(01),31.47533432,-96.88559601,700867.942,3484218.593,139.296,103
12,1-03-(02),31.4753818,-96.88558001,700873.078,3484223.886,139.393,103
13,1-03-(03),31.47536272,-96.88552639,700871.645,3484221.869,139.286,103
14,1-03-(04),31.47531443,-96.88554256,700868.493,3484216.486,139.212,103
15,1-04 (01),31.47540049,-96.8855738,700869.881,3484225.97,139.443,104
16,1-04 (02),31.47544772,-96.88555813,700874.965,3484231.235,139.545,104
17,1-04 (03),31.47542905,-96.88550504,700873.595,3484229.262,139.437,104
18,1-04 (04),31.47538101,-96.88552054,700869.757,3484223.907,139.3,104
19,1-05 (01),31.47517499,-96.88556557,700871.085,3484200.984,138.871,105
20,1-05 (02),31.47522286,-96.88555051,700876.158,3484206.319,139.022,105
21,1-05 (03),31.47520342,-96.88549756,700874.863,3484204.261,138.959,105
22,1-05 (04),31.47515637,-96.88551225,700871.718,3484199.017,138.848,105
23,1-06-(01),31.47524193,-96.88554342,700873.074,3484208.446,139.042,106
24,1-06-(02),31.47528908,-96.88552809,700878.159,3484213.702,139.136,106
25,1-06-(03),31.47526966,-96.88547501,700876.76,3484211.646,139.056,106
26,1-06-(04),31.47522298,-96.88549078,700873.625,3484206.441,138.955,106
27,1-07-(01),31.47530745,-96.88552188,700875.053,3484215.749,139.165,107
28,1-07-(02),31.47535574,-96.88550576,700880.139,3484221.133,139.272,107
29,1-07-(03),31.47533577,-96.88545269,700878.69,3484219.016,139.183,107
30,1-07-(04),31.47528784,-96.88546901,700875.56,3484213.672,139.059,107
31,1-08 (01),31.47537375,-96.88550002,700876.989,3484223.14,139.286,108
32,1-08 (02),31.47542181,-96.8854839,700882.057,3484228.498,139.421,108
33,1-08 (03),31.47540247,-96.885431,700880.673,3484226.451,139.298,108
34,1-08 (04),31.47535438,-96.88544665,700876.838,3484221.09,139.208,108
35,1-09-(01),31.4751491,-96.88549163,700878.177,3484198.249,138.826,109
36,1-09-(02),31.47519587,-96.88547648,700883.275,3484203.462,138.931,109
37,1-09-(03),31.47517665,-96.88542326,700881.949,3484201.429,138.858,109
38,1-09-(04),31.47512898,-96.88543829,700878.759,3484196.116,138.76,109
39,1-10-(01),31.47521524,-96.88546992,700880.146,3484205.622,138.939,110
40,1-10-(02),31.47526239,-96.88545426,700885.2,3484210.878,139.035,110
41,1-10-(03),31.47524308,-96.88540151,700883.832,3484208.834,138.945,110
42,1-10-(04),31.47519536,-96.88541698,700880.706,3484203.515,138.863,110
43,1-11-(01),31.47528082,-96.88544796,700882.079,3484212.932,139.058,111
