Name,Code,Latitude,Longitude,Northing,Easting,Elevation,Plot
2,1-01-ne,31.05364107,-97.3519173,3436713.625,657258.0457,166.01911,101
3,1-01-nw,31.05365442,-97.35196352,3436715.039,657253.613,165.99112,101
4,1-01-sw,31.05361613,-97.35198085,3436710.77,657252.0217,165.95995,101
5,1-01-se,31.05360189,-97.35193484,3436709.257,657256.4366,165.94807,101
6,1-02-ne,31.05362442,-97.35185668,3436711.865,657263.8585,165.93724,102
7,1-02-nw,31.05363653,-97.35190253,3436713.142,657259.4629,165.94724,102
8,1-02-sw,31.05359753,-97.35191909,3436708.796,657257.9466,165.91484,102
9,1-02-se,31.05358538,-97.35187389,3436707.513,657262.2801,165.889,102
10,1-03-ne,31.05360609,-97.35179652,3436709.918,657269.6296,165.94197,103
11,1-03-nw,31.0536197,-97.35184168,3436711.363,657265.2974,165.93666,103
12,1-03-sw,31.05358069,-97.35185826,3436707.015,657263.7794,165.91269,103
13,1-03-se,31.05356755,-97.35181458,3436705.62,657267.969,165.90532,103
14,1-04-ne,31.05358801,-97.35173601,3436708,657275.4333,165.91718,104
15,1-04-nw,31.05360112,-97.35178186,3436709.388,657271.0363,165.92392,104
16,1-04-sw,31.05356427,-97.3517986,3436705.279,657269.4998,165.90993,104
17,1-04-se,31.05354905,-97.35175343,3436703.656,657273.8354,165.9055,104
18,1-05-ne,31.05358911,-97.35194025,3436707.832,657255.9415,165.96158,105
19,1-05-nw,31.05360333,-97.3519867,3436709.343,657251.4851,165.92317,105
20,1-05-sw,31.0535664,-97.35200413,3436705.224,657249.8825,165.90289,105
21,1-05-se,31.05355071,-97.35195773,3436703.551,657254.3364,165.9015,105
22,1-06-ne,31.0535725,-97.35187974,3436706.077,657261.7432,165.86297,106
23,1-06-nw,31.05358478,-97.35192534,3436707.373,657257.3711,165.91164,106
24,1-06-sw,31.05354625,-97.35194246,3436703.078,657255.8005,165.86172,106
25,1-06-se,31.05353423,-97.3518968,3436701.81,657260.178,165.85344,106
26,1-07-ne,31.05355439,-97.35181993,3436704.154,657267.48,165.91977,107
27,1-07-nw,31.05356792,-97.35186399,3436705.591,657263.2534,165.88933,107
28,1-07-sw,31.05352943,-97.35188116,3436701.301,657261.6779,165.88439,107
29,1-07-se,31.05351611,-97.3518369,3436699.887,657265.9239,165.87082,107
30,1-08-ne,31.05353623,-97.35175881,3436702.228,657273.3432,165.88366,108
31,1-08-nw,31.05355121,-97.35180512,3436703.823,657268.899,165.88366,108
32,1-08-sw,31.05351109,-97.35182163,3436699.352,657267.3894,165.86284,108
33,1-08-se,31.05349764,-97.35177545,3436697.927,657271.8183,165.85058,108
34,1-09-ne,31.05353767,-97.35196385,3436702.097,657253.7731,165.88626,109
35,1-09-nw,31.05355184,-97.35200908,3436703.604,657249.4335,165.85644,109
